 id Especie  Diameter Height ODB TODB Branches foliage Rand set
 198 "BALSAM FIR"  2.7 2.2 1.8 0.8 0 1 0.725603497969169 0
 199 "BALSAM FIR"  2.8 2.7 1.6 0.7 0 0.9 0.245005162031341 0
 200 "BALSAM FIR"  17.1 11.8 85.3 63.1 11.9 10.3 0.617182857878325 0
 201 "BALSAM FIR"  19.8 15.3 120.4 104.2 7.1 9.1 0.338758117861888 0
 202 "BALSAM FIR"  26.6 16.6 217.5 144.2 40.5 32.8 0.635679969457578 0
 203 "BALSAM FIR"  22 14.9 157 114.3 25.6 17.1 0.596014101628169 0
 204 "BALSAM FIR"  3 3.3 1.9 0.8 0.1 1 0.41176626706214 0
 205 "BALSAM FIR"  4.1 3.9 2.8 1.3 0 1.5 0.177102489489143 0
 206 "BALSAM FIR"  10.1 6.4 16.6 10.1 1.4 5.1 0.926064376081226 0
 207 "BALSAM FIR"  4.9 4.2 3.9 2.4 0.3 1.1 0.693717701256511 0
 208 "BALSAM FIR"  2.5 2.5 1.2 0.5 0.1 0.5 0.635060419161829 0
 209 "BALSAM FIR"  2.1 2.3 1 0.5 0.1 0.5 0.909027780583758 0
 210 "BALSAM FIR"  12.3 12.5 28.3 24.3 1.9 2.1 0.656784857512617 0
 211 "BALSAM FIR"  17.9 14.9 88.8 70 8.9 9.9 0.227388438783602 0
 212 "BALSAM FIR"  23.5 16.2 179.7 110.4 24 45.3 0.50362709269969 0
 213 "BALSAM FIR"  21.1 14.9 114.6 89.5 10 15.1 0.278082637654938 0
 214 "BALSAM FIR"  14.7 9.6 61.4 42.7 10 8.7 0.905749425670062 0
 215 "BALSAM FIR"  18.3 10.9 89.3 58.1 19.6 11.7 0.3004102457375 0
 216 "BALSAM FIR"  20.8 12.3 121.3 91.1 17.5 12.7 0.331946581631118 0
 217 "BALSAM FIR"  16.8 10.4 77.4 54.1 16 7.3 0.979454117996454 0
 218 "BALSAM FIR"  24.3 17.1 193.8 151.9 27.6 14.3 0.933033859925993 0
 219 "BALSAM FIR"  21.8 19.1 192.4 151.3 20.8 20.4 0.845036445852882 0
 220 "BALSAM FIR"  17.5 16.8 117.8 99.7 6.8 11.4 0.123472416972867 0
 221 "BALSAM FIR"  20.7 13.8 106.2 77 11.9 17.3 0.0959981781552233 1
 222 "BALSAM FIR"  14.6 11.8 53.8 40 6.2 7.6 0.565465925798318 0
 223 "BALSAM FIR"  10 10.4 17.2 14 0.9 2.2 0.343923796516482 0
 224 "BALSAM FIR"  18.4 12.1 74.4 55.7 9.5 9.3 0.865128740398309 0
 225 "BALSAM FIR"  22.2 12.9 110.7 75.6 17.2 17.9 0.159703506283488 0
 226 "BALSAM FIR"  32.7 14.8 260.4 179.6 39.9 40.9 0.724981556707774 0
 227 "BALSAM FIR"  16.5 12.8 84.6 60.3 12.6 11.8 0.754352424701467 0
 228 "BALSAM FIR"  12.8 10.2 43.9 32.4 4.5 6.9 0.927002320268771 0
 229 "BALSAM FIR"  21.8 15.2 157.2 110.4 28.5 18.3 0.500951724278172 0
 230 "BALSAM FIR"  29.7 17 326.6 230.4 53.3 43 0.716619123899881 0
 231 "BALSAM FIR"  26.8 15.3 223.9 145.6 35.4 42.9 0.951572683062655 0
 232 "BALSAM FIR"  13.3 12 45.8 33.6 6.2 6 0.503510946593479 0
 233 "BALSAM FIR"  22.5 15.4 178.8 119.7 31.4 27.7 0.863786628909165 0
 234 "BALSAM FIR"  17.3 13.6 65.1 51.5 7.1 6.5 0.845813049286539 0
 235 "BALSAM FIR"  27 18.3 267.6 192.6 40.4 34.6 0.296792205154061 0
 236 "BALSAM FIR"  24.7 15.5 169.5 126.4 24.6 18.5 0.748406101694111 0
 237 "BALSAM FIR"  19.1 15.5 115.6 83.9 17.8 13.9 0.48354749991603 0
 238 "BALSAM FIR"  31.1 18 328.9 219.4 65.3 44.2 0.79028099542682 0
 239 "BALSAM FIR"  18.4 14.1 92.6 64.3 13.5 14.8 0.607913715472374 0
 240 "BALSAM FIR"  12.2 8.8 28.9 23.4 2.3 3.1 0.98232446650955 0
 241 "BALSAM FIR"  8.8 9.9 15.9 13.7 1.2 1 0.45811729609234 0
 242 "BALSAM FIR"  16.3 10.9 57.2 42.5 7.9 6.9 0.715781111766559 0
 243 "BALSAM FIR"  8.4 5.6 12.8 6.6 2.5 3.8 0.580708095370112 0
 244 "BALSAM FIR"  3.5 3 2 0.8 0 1.2 0.637663690577519 0
 245 "BALSAM FIR"  3.7 2.7 2.5 0.9 0 1.6 0.277305672473203 0
 246 "BALSAM FIR"  2.3 2.3 0.7 0.3 0 0.4 0.142140062688386 0
 247 "BALSAM FIR"  17.7 15.3 82.5 69.9 5.9 6.6 0.409681892197883 0
 248 "BALSAM FIR"  23.8 16.6 190.3 144.9 28.9 16.5 0.68741556961878 0
 249 "BALSAM FIR"  28.8 18.1 290.5 215.3 48.4 26.8 0.82585879915339 0
 250 "BALSAM FIR"  13.7 11.9 43.2 32.2 4.2 6.8 0.733617419629542 0
 251 "BALSAM FIR"  20 15.8 138.9 103.6 12.1 23.2 0.167023040371426 0
 252 "BALSAM FIR"  21 14.6 130.8 100.3 12.4 18.1 0.839265034478907 0
 253 "BALSAM FIR"  14.2 11.9 48.4 37.3 4.1 7.1 0.745880670950458 0
 254 "BALSAM FIR"  18.6 13.1 88.4 65.8 11 11.7 0.835587661014378 0
 255 "BALSAM FIR"  19.9 12.6 112.1 75.9 10.9 25.4 0.29096252917839 0
 256 "BALSAM FIR"  13.2 9.3 31.8 21.8 3.9 6.2 0.619323179738469 0
 257 "BALSAM FIR"  9.7 8.5 21.2 14.4 2.4 4.4 0.885064524984076 0
 258 "BALSAM FIR"  6 6.6 6 4.3 0.7 1 0.468123688154378 0
 259 "BALSAM FIR"  12.6 9.1 35.1 20.4 3.8 10.9 0.704266147597057 0
 260 "BALSAM FIR"  7.5 6.1 12.4 5.4 1.7 5.2 0.297273649735279 0
 261 "BALSAM FIR"  8 6.3 16.5 6.1 2.7 7.7 0.107125571655444 0
 262 "BALSAM FIR"  4 3.2 1.8 1 0.2 0.6 0.44359253596534 0
 263 "BALSAM FIR"  18.8 11.7 90.9 59.1 17.7 14.2 0.883487038223653 0
 264 "BALSAM FIR"  22.3 13.2 119.9 80 20.6 19.2 0.576410197189543 0
 265 "BALSAM FIR"  27.5 14.6 179.4 119.3 33.3 26.9 0.847600619824022 0
 266 "BALSAM FIR"  20.3 12.2 93.6 59.1 23.6 10.9 0.57630247922892 0
 267 "BALSAM FIR"  17.1 13.6 85 62.6 13.4 9 0.591125564314385 0
 268 "BALSAM FIR"  11.3 10.1 27.6 21.9 3.2 2.6 0.274534559449175 0
 269 "BALSAM FIR"  21 14.8 124.5 87.3 14.6 22.6 0.416910589005939 0
 270 "BALSAM FIR"  9.8 8.8 18.3 12.4 2.4 3.5 0.804944007104071 0
 271 "BALSAM FIR"  12.9 9.7 33.7 23.1 4.4 6.2 0.750917281260281 0
 272 "BALSAM FIR"  17.2 10.5 73.1 44.4 12.5 16.1 0.850963167178647 0
 273 "BALSAM FIR"  18.9 10.4 98.1 59.9 16.8 21.4 0.552703305318826 0
 274 "BALSAM FIR"  12.3 9.1 32.2 20.8 2.9 8.5 0.0313250876625787 1
 275 "BALSAM FIR"  19.4 16 94.1 80.9 7.3 6 0.678475403439099 0
 276 "BALSAM FIR"  24.4 17.2 195.4 147.4 19.7 28.4 0.690052264368887 0
 277 "BALSAM FIR"  15.4 14.8 62.3 52.8 3 6.4 0.403636824350213 0
 278 "BALSAM FIR"  16.8 14.4 70.4 63.5 5.5 1.4 0.261189579197539 0
 279 "BALSAM FIR"  13.9 10.5 43.2 30.4 5.3 7.4 0.988595133886942 0
 280 "BALSAM FIR"  20.5 15.6 143.6 103.1 20.2 20.3 0.208873367028706 0
 281 "BALSAM FIR"  23.5 16.7 166.9 130.7 20 16.2 0.251133127018834 0
 282 "BALSAM FIR"  12.1 11.6 38.3 29.7 3.5 5.2 0.155221903839577 0
 283 "BALSAM FIR"  16.2 13 62.5 50.4 8.2 4 0.687258011144395 0
 284 "BALSAM FIR"  12.8 9.9 34.9 23.8 3.4 7.7 0.249470696373449 0
 285 "BALSAM FIR"  17.6 12.6 85.2 54.2 14.5 16.6 0.792687430610967 0
 286 "BALSAM FIR"  26.9 14.2 288.2 141.3 73 73.9 0.726516555491393 0
 287 "BALSAM FIR"  22 13.7 136.7 83.8 19.3 33.7 0.0761679735966146 1
 288 "BALSAM FIR"  16.2 10.6 61.1 41.4 11.1 8.6 0.760470019203449 0
 289 "BALSAM FIR"  11.4 8.9 31 20.1 5.1 5.8 0.601382454629215 0
 290 "BALSAM FIR"  7.3 7.6 10.9 7.3 1.6 2 0.286234332821777 0
 291 "BALSAM FIR"  4.6 5.6 3 2.7 0.1 0.2 0.82554986218507 0
 292 "BALSAM FIR"  5.9 6.5 4.3 3.9 0.2 0.2 0.891322592622559 0
 293 "BALSAM FIR"  8.8 10.6 19.3 17.1 1.1 1.1 0.611979572211376 0
 294 "BALSAM FIR"  17.5 10.9 65.6 52.3 7.6 5.7 0.766671490750466 0
 295 "BALSAM FIR"  12.4 11.5 33.6 25.3 2.7 5.7 0.807011421905247 0
